authors,author_sort,rating,library_name,timestamp,formats,size,isbn,identifiers,comments,tags,series,series_index,languages,title,cover,title_sort,publisher,pubdate,id,uuid
"Unbekannt","Unbekannt","","temp","0101-01-01T02:00:00+02:00","pdf","1461054","","","Zitierweise:
*Das Westminster Bekenntnis von 1647.* (2022). (K. Vetterli, Übers.) Rankweil: Evangelisch Reformierte Kirche des Westminster Bekenntnisses.
","Historik, Bekenntnis, Systematik","","1.0","deu","Das Westminster Bekenntnis von 1647, Ed. 2022","C:\Users\sever\Documents\temp\Unbekannt\Das Westminster Bekenntnis von 1647, (1)\cover.jpg","Westminster Bekenntnis von 1647, Ed. 2022, Das","Evangelisch Reformierte Kirche des Westminster Bekenntnisses","2022-06-15T17:04:16+02:00","1","85b1e753-e09a-44cb-92c4-4704b56bc399"
"Unbekannt","Unbekannt","","temp","0101-01-01T02:00:00+02:00","epub","161377882","","","","Studienbibel, Bibel","","1.0","eng","CSB Baker Illustrated Study Bible","C:\Users\sever\Documents\temp\Unbekannt\CSB Baker Illustrated Study Bible (2)\cover.jpg","CSB Baker Illustrated Study Bible","Baker Publishing Group","0101-01-01T02:00:00+02:00","2","d1e92b7e-6f9c-4f78-a46c-23596bbee171"
"Unbekannt","Unbekannt","","temp","0101-01-01T02:00:00+02:00","pdf","473428","","","Das 1. von 1644 ist wohl besser.
","Bekenntnis, Systematik","","1.0","eng","The London Baptist Confession of Faith 1677/89","C:\Users\sever\Documents\temp\Unbekannt\The London Baptist Confession of Fai (3)\cover.jpg","London Baptist Confession of Faith 1677/89, The","Chapel Library","0101-01-01T02:00:00+02:00","3","5a93cf94-1b98-4042-b0f3-2d4a2c1f2361"
"Unbekannt","Unbekannt","","temp","0101-01-01T02:00:00+02:00","pdf","170603","","","","Bekenntnis, Historik, Systematik","","1.0","deu","Das Erste Londoner Bekenntnis von 1644","C:\Users\sever\Documents\temp\Unbekannt\Das Erste Londoner Bekenntnis von 16 (4)\cover.jpg","Erste Londoner Bekenntnis von 1644, Das","","0101-01-01T02:00:00+02:00","4","be5e8e70-4bff-419d-98cf-31e0d4126885"
"Unbekannt","Unbekannt","","temp","0101-01-01T02:00:00+02:00","epub","10493702","","","","Kinderarbeit, Illustration, Andacht","","1.0","eng","Little Words Matter Bible Storybook","C:\Users\sever\Documents\temp\Unbekannt\Little Words Matter Bible Storybook (5)\cover.jpg","Little Words Matter Bible Storybook","B&H","0101-01-01T02:00:00+02:00","5","c3fd6307-b42d-4489-8bd4-26c5bff47df6"
"Tokunboh Adeyemo","Adeyemo, Tokunboh","","temp","0101-01-01T02:00:00+02:00","pdf","16377453","","","","Kommentar, AT, NT, Alle-AT, Alle-NT","","1.0","eng","Africa Bible Commentary: A One-Volume Commentary Written by 70 African Scholars","C:\Users\sever\Documents\temp\Tokunboh Adeyemo\Africa Bible Commentary_ A One-Volum (6)\cover.jpg","Africa Bible Commentary: A One-Volume Commentary Written by 70 African Scholars","Zondervan","0101-01-01T02:00:00+02:00","6","f0dd1e06-7217-4e46-b9a6-94fd58370127"
"Randy Alcorn","Alcorn, Randy","","temp","2023-12-08T00:13:18+02:00","pdf","1873191","","","Der Autor dieses Buches liess sich durch ""Dienstanweisung für einen Unterteufel"" von C. S. Lewis inspirieren.
","Angelologie, Sünde, Versuchung, Geisterunterscheidung","","1.0","deu","Post von Graf Moderthal","C:\Users\sever\Documents\temp\Randy Alcorn\Post von Graf Moderthal (7)\cover.jpg","Post von Graf Moderthal","CLV","0101-01-01T02:00:00+02:00","7","5b7800ed-7b29-4c5d-a7ab-a53fa2952154"
"Joe Aldred","Aldred, Joe","","temp","0101-01-01T02:00:00+02:00","pdf","7125683","","","","Predigen, Dienst, Praktik","","1.0","eng","Preaching with Power: Sermons by Black Preachers","C:\Users\sever\Documents\temp\Joe Aldred\Preaching with Power_ Sermons by Bla (8)\cover.jpg","Preaching with Power: Sermons by Black Preachers","Cassell","0101-01-01T02:00:00+02:00","8","4390180d-3601-4177-93df-666277089b37"
"Kimberly Ervin Alexander","Alexander, Kimberly Ervin","","temp","0101-01-01T02:00:00+02:00","pdf","10194797","","","","Charismatisch, Heilung, Systematik","","1.0","eng","Pentecostal Healing: Models in Theology and Practice","C:\Users\sever\Documents\temp\Kimberly Ervin Alexander\Pentecostal Healing_ Models in Theol (9)\cover.jpg","Pentecostal Healing: Models in Theology and Practice","Deo Publishing","0101-01-01T02:00:00+02:00","9","23d1080a-6586-47d5-a3c6-f8fee2b99b04"
"Sam Allberry","Allberry, Sam","","temp","0101-01-01T02:00:00+02:00","epub","453812","","","","Krankheit, Heilung, Praktik","","1.0","eng","What God Has to Say about Our Bodies: How the Gospel Is Good News for Our Physical Selves","C:\Users\sever\Documents\temp\Sam Allberry\What God Has to Say about Our Bodies (10)\cover.jpg","What God Has to Say about Our Bodies: How the Gospel Is Good News for Our Physical Selves","Crossway","0101-01-01T02:00:00+02:00","10","3b0eac2b-40a5-4c32-bbfd-1b508fb240d5"
